INCIDENT INFO,Longitude,Latitude,DewPoint,RelativeHumidity,WindDirection,WindSpeed,Visibility,Pressure,Weather,cluster_label
Falconridge Drive b/w Falconridge Boulevard and Falworth Road NE,-113.9524566,51.0986315,-8.2,71,21,12,24.1,88.37,Mainly Clear ,4
Falconridge Drive b/w Falsbridge Drive and Falworth Road NE,-113.9525051,51.09865706,-8.2,71,21,12,24.1,88.37,Mainly Clear ,4
Falconridge Cr and Falconridge Drive NE,-113.9524947,51.09866083,-8.2,71,21,12,24.1,88.37,Mainly Clear ,4
James Mckevitt Road and 162 Avenue SW,-114.0989626,50.90524843,-8.8,70,20,9,24.1,88.46,Mostly Cloudy ,3
James Mckevitt Road and 162 Avenue SW,-114.0989626,50.90524843,-8.8,70,20,9,24.1,88.46,Mostly Cloudy ,3
James Mckevitt Road and 162 Avenue SW,-114.0989701,50.90523664,0.6,19,2,4,8.1,89.43,Smoke ,3
James Mckevitt Road and 162 Avenue SW,-114.0989701,50.90523664,0.6,19,2,4,8.1,89.43,Smoke ,3
162 Avenue and Somercrest Street SW,-114.0894858,50.90391783,-8.8,70,20,9,24.1,88.46,Mostly Cloudy ,3
162 Avenue and Somercrest Street SW,-114.0894858,50.90391783,-8.8,70,20,9,24.1,88.46,Mostly Cloudy ,3
162 Avenue and Somercrest Street SW,-114.0897984,50.9036808,-7.3,79,36,1,48.3,89.4,Mostly Cloudy ,3
162 Avenue and Somercrest Street SW,-114.0897984,50.9036808,-7.3,79,36,1,48.3,89.4,Mostly Cloudy ,3
162 Avenue b/w James McKevitt Road and 6 Street SW,-114.0762171,50.90262298,-8.8,70,20,9,24.1,88.46,Mostly Cloudy ,3
Rundlewood Drive and Rundlehorn Drive NE,-113.9699034,51.07063492,-7,76,19,10,56.3,88.51,Clear ,4
Deerfoot Trail and Glenmore Trail SE,-114.0391731,50.99415668,-10.2,76,1,3,64.4,88.39,Mainly Clear ,1
Deerfoot Trail and Glenmore Trail SE,-114.0391731,50.99415668,-10.2,76,1,3,64.4,88.39,Mainly Clear ,1
Deerfoot Trail and Glenmore Trail SE,-114.0391731,50.99415668,-10.2,76,1,3,64.4,88.39,Mainly Clear ,1
Deerfoot Trail and Glenmore Trail SE,-114.0391731,50.99415668,-10.2,76,1,3,64.4,88.39,Mainly Clear ,1
Deerfoot Trail and Glenmore Trail SE,-114.0391731,50.99415668,-10.2,76,1,3,64.4,88.39,Mainly Clear ,1
Deerfoot Trail and Glenmore Trail SE,-114.0391731,50.99415668,-10.2,76,1,3,64.4,88.39,Mainly Clear ,1
Deerfoot Trail and Glenmore Trail SE,-114.0391731,50.99415668,-10.2,76,1,3,64.4,88.39,Mainly Clear ,1
Deerfoot Trail and Glenmore Trail SE,-114.036877,50.99447395,0.3,46,13,20,24.1,88.57,Mainly Clear ,1
Deerfoot Trail and Glenmore Trail SE,-114.036877,50.99447395,0.3,46,13,20,24.1,88.57,Mainly Clear ,1
Deerfoot Trail and Glenmore Trail SE,-114.036877,50.99447395,0.3,46,13,20,24.1,88.57,Mainly Clear ,1
Deerfoot Trail and Glenmore Trail SE,-114.036877,50.99447395,0.3,46,13,20,24.1,88.57,Mainly Clear ,1
Deerfoot Trail and Glenmore Trail SE,-114.036877,50.99447395,0.3,46,13,20,24.1,88.57,Mainly Clear ,1
Deerfoot Trail and Glenmore Trail SE,-114.036877,50.99447395,0.3,46,13,20,24.1,88.57,Mainly Clear ,1
Deerfoot Trail and Glenmore Trail SE,-114.036877,50.99447395,0.3,46,13,20,24.1,88.57,Mainly Clear ,1
Deerfoot Trail and Glenmore Trail SE,-114.035944,50.99326673,-9.9,78,3,19,24.1,88.76,Cloudy ,1
Deerfoot Trail and Glenmore Trail SE,-114.035944,50.99326673,-9.9,78,3,19,24.1,88.76,Cloudy ,1
Deerfoot Trail and Glenmore Trail SE,-114.035944,50.99326673,-9.9,78,3,19,24.1,88.76,Cloudy ,1
Deerfoot Trail and Glenmore Trail SE,-114.035944,50.99326673,-9.9,78,3,19,24.1,88.76,Cloudy ,1
Deerfoot Trail and Glenmore Trail SE,-114.035944,50.99326673,-9.9,78,3,19,24.1,88.76,Cloudy ,1
Deerfoot Trail and Glenmore Trail SE,-114.035944,50.99326673,-9.9,78,3,19,24.1,88.76,Cloudy ,1
Deerfoot Trail and Glenmore Trail SE,-114.035944,50.99326673,-9.9,78,3,19,24.1,88.76,Cloudy ,1
Deerfoot Trail and Glenmore Trail SE,-114.0391731,50.99415668,-16.8,80,4,21,6.4,90.57, ,1
Deerfoot Trail and Glenmore Trail SE,-114.0391731,50.99415668,-16.8,80,4,21,6.4,90.57, ,1
Deerfoot Trail and Glenmore Trail SE,-114.0391731,50.99415668,-16.8,80,4,21,6.4,90.57, ,1
Deerfoot Trail and Glenmore Trail SE,-114.0391731,50.99415668,-16.8,80,4,21,6.4,90.57, ,1
Deerfoot Trail and Glenmore Trail SE,-114.0391731,50.99415668,-16.8,80,4,21,6.4,90.57, ,1
Deerfoot Trail and Glenmore Trail SE,-114.0391731,50.99415668,-16.8,80,4,21,6.4,90.57, ,1
Deerfoot Trail and Glenmore Trail SE,-114.0391731,50.99415668,-16.8,80,4,21,6.4,90.57, ,1
Deerfoot Trail and Glenmore Trail SE,-114.0391731,50.99415668,-4,19,8,11,9.7,89.05,Smoke ,1
Deerfoot Trail and Glenmore Trail SE,-114.0391731,50.99415668,-4,19,8,11,9.7,89.05,Smoke ,1
Deerfoot Trail and Glenmore Trail SE,-114.0391731,50.99415668,-4,19,8,11,9.7,89.05,Smoke ,1
Deerfoot Trail and Glenmore Trail SE,-114.0391731,50.99415668,-4,19,8,11,9.7,89.05,Smoke ,1
Deerfoot Trail and Glenmore Trail SE,-114.0391731,50.99415668,-4,19,8,11,9.7,89.05,Smoke ,1
Deerfoot Trail and Glenmore Trail SE,-114.0391731,50.99415668,-4,19,8,11,9.7,89.05,Smoke ,1
Deerfoot Trail and Glenmore Trail SE,-114.0391731,50.99415668,-4,19,8,11,9.7,89.05,Smoke ,1
Deerfoot Trail and Glenmore Trail SE,-114.0360673,50.9932106,-22,70,1,18,6.4,89.93, ,1
Deerfoot Trail and Glenmore Trail SE,-114.0360673,50.9932106,-22,70,1,18,6.4,89.93, ,1
Deerfoot Trail and Glenmore Trail SE,-114.0360673,50.9932106,-22,70,1,18,6.4,89.93, ,1
Deerfoot Trail and Glenmore Trail SE,-114.0360673,50.9932106,-22,70,1,18,6.4,89.93, ,1
Deerfoot Trail and Glenmore Trail SE,-114.0360673,50.9932106,-22,70,1,18,6.4,89.93, ,1
Deerfoot Trail and Glenmore Trail SE,-114.0360673,50.9932106,-22,70,1,18,6.4,89.93, ,1
Deerfoot Trail and Glenmore Trail SE,-114.0360673,50.9932106,-22,70,1,18,6.4,89.93, ,1
Deerfoot Trail and Glenmore Trail SE,-114.0391731,50.99415668,-16,82,21,6,24.1,89.26,Mainly Clear ,1
Deerfoot Trail and Glenmore Trail SE,-114.0391731,50.99415668,-16,82,21,6,24.1,89.26,Mainly Clear ,1
Deerfoot Trail and Glenmore Trail SE,-114.0391731,50.99415668,-16,82,21,6,24.1,89.26,Mainly Clear ,1
Deerfoot Trail and Glenmore Trail SE,-114.0391731,50.99415668,-16,82,21,6,24.1,89.26,Mainly Clear ,1
Deerfoot Trail and Glenmore Trail SE,-114.0391731,50.99415668,-16,82,21,6,24.1,89.26,Mainly Clear ,1
Deerfoot Trail and Glenmore Trail SE,-114.0391731,50.99415668,-16,82,21,6,24.1,89.26,Mainly Clear ,1
Deerfoot Trail and Glenmore Trail SE,-114.0391731,50.99415668,-16,82,21,6,24.1,89.26,Mainly Clear ,1
Country Hills Boulevard and Sarcee Trail NW,-114.16431,51.13766746,-9.8,80,36,2,24.1,87.97,Mostly Cloudy ,2
Country Hills Boulevard and Sarcee Trail NW,-114.16431,51.13766746,-9.8,80,36,2,24.1,87.97,Mostly Cloudy ,2
Country Hills Boulevard and Sarcee Trail NW,-114.16431,51.13766746,-9.8,80,36,2,24.1,87.97,Mostly Cloudy ,2
Country Hills Boulevard and Sarcee Trail NW,-114.1649241,51.13761293,-5.1,94,10,18,2.8,88.05, ,2
Country Hills Boulevard and Sarcee Trail NW,-114.1649241,51.13761293,-5.1,94,10,18,2.8,88.05, ,2
Country Hills Boulevard and Sarcee Trail NW,-114.1649241,51.13761293,-5.1,94,10,18,2.8,88.05, ,2
Country Hills Boulevard and Sarcee Trail NW,-114.1649241,51.13761293,-5.7,70,4,17,19.3,88.35,Mainly Clear ,2
Country Hills Boulevard and Sarcee Trail NW,-114.1649241,51.13761293,-5.7,70,4,17,19.3,88.35,Mainly Clear ,2
Country Hills Boulevard and Sarcee Trail NW,-114.1649241,51.13761293,-5.7,70,4,17,19.3,88.35,Mainly Clear ,2
Eastbound 64 Avenue and Centre Street NW,-114.0633976,51.11054533,-7.9,53,23,5,64.4,87.82,Mostly Cloudy ,0
Edmonton Trail and Meredith Road NE,-114.0502792,51.05190691,-12.5,62,21,7,64.4,88.88,Cloudy ,1
Edmonton Trail and Meredith Road NE,-114.0502792,51.05190691,-12.5,62,21,7,64.4,88.88,Cloudy ,1
Edmonton Trail and Meredith Road NE,-114.0502792,51.05190691,-17,83,14,17,1.2,89.14, ,1
Edmonton Trail and Meredith Road NE,-114.0502792,51.05190691,-17,83,14,17,1.2,89.14, ,1
Northbound Sarcee Trail after Bow Trail SW,-114.1641806,51.05370492,-12.5,62,21,7,64.4,88.88,Cloudy ,2
Northbound Sarcee Trail after Bow Trail SW,-114.1641806,51.05370492,-12.5,62,21,7,64.4,88.88,Cloudy ,2
Northbound Sarcee Trail after Bow Trail SW,-114.1641806,51.05370492,-12.5,62,21,7,64.4,88.88,Cloudy ,2
Northbound Sarcee Trail after Bow Trail SW,-114.1641806,51.05370492,-12.5,62,21,7,64.4,88.88,Cloudy ,2
Northbound Sarcee Trail after Bow Trail SW,-114.1641806,51.05370492,-12.5,62,21,7,64.4,88.88,Cloudy ,2
Northbound Sarcee Trail after Bow Trail SW,-114.1641264,51.05620405,4.6,40,1,15,48.3,89.67,Clear ,2
Northbound Sarcee Trail after Bow Trail SW,-114.1641264,51.05620405,4.6,40,1,15,48.3,89.67,Clear ,2
Northbound Sarcee Trail after Bow Trail SW,-114.1641264,51.05620405,4.6,40,1,15,48.3,89.67,Clear ,2
Northbound Sarcee Trail after Bow Trail SW,-114.1641264,51.05620405,4.6,40,1,15,48.3,89.67,Clear ,2
Northbound Sarcee Trail after Bow Trail SW,-114.1641264,51.05620405,4.6,40,1,15,48.3,89.67,Clear ,2
Northbound Sarcee Trail after Bow Trail SW,-114.1654769,51.05336966,4.6,40,1,15,48.3,89.67,Clear ,2
Northbound Sarcee Trail after Bow Trail SW,-114.1654769,51.05336966,4.6,40,1,15,48.3,89.67,Clear ,2
Northbound Sarcee Trail after Bow Trail SW,-114.1654769,51.05336966,4.6,40,1,15,48.3,89.67,Clear ,2
Northbound Sarcee Trail after Bow Trail SW,-114.1654769,51.05336966,4.6,40,1,15,48.3,89.67,Clear ,2
Northbound Sarcee Trail after Bow Trail SW,-114.1654769,51.05336966,4.6,40,1,15,48.3,89.67,Clear ,2
Northbound Sarcee Trail after Bow Trail SW,-114.1640784,51.0536433,5.3,31,36,7,48.3,88.38,Mostly Cloudy ,2
Northbound Sarcee Trail after Bow Trail SW,-114.1640784,51.0536433,5.3,31,36,7,48.3,88.38,Mostly Cloudy ,2
Northbound Sarcee Trail after Bow Trail SW,-114.1640784,51.0536433,5.3,31,36,7,48.3,88.38,Mostly Cloudy ,2
Northbound Sarcee Trail after Bow Trail SW,-114.1640784,51.0536433,5.3,31,36,7,48.3,88.38,Mostly Cloudy ,2
Northbound Sarcee Trail after Bow Trail SW,-114.1640784,51.0536433,5.3,31,36,7,48.3,88.38,Mostly Cloudy ,2
Northbound Sarcee Trail after Bow Trail SW,-114.1645321,51.05979595,-10.6,86,2,32,1.6,89.68, ,2
Northbound Sarcee Trail after Bow Trail SW,-114.1645321,51.05979595,-10.6,86,2,32,1.6,89.68, ,2
Northbound Sarcee Trail after Bow Trail SW,-114.1645321,51.05979595,-10.6,86,2,32,1.6,89.68, ,2
Northbound Sarcee Trail after Bow Trail SW,-114.1645321,51.05979595,-10.6,86,2,32,1.6,89.68, ,2
Northbound Sarcee Trail after Bow Trail SW,-114.1645321,51.05979595,-10.6,86,2,32,1.6,89.68, ,2
Westbound John Laurie Boulevard west of Shaganappi Trail NW,-114.1414488,51.10989111,-12.5,62,21,7,64.4,88.88,Cloudy ,2
Northbound Stoney Trail approaching 16 Avenue NE,-113.9201463,51.06365583,-12.3,57,4,4,24.1,88.65,Clear ,4
Northbound Stoney Trail approaching 16 Avenue NE,-113.9201463,51.06365583,-12.3,57,4,4,24.1,88.65,Clear ,4
Northbound Stoney Trail approaching 16 Avenue NE,-113.9201463,51.06365583,-12.3,57,4,4,24.1,88.65,Clear ,4
Northbound Stoney Trail approaching 16 Avenue NE,-113.9198625,51.05985542,-19.6,72,35,34,3.6,88.6, ,4
Northbound Stoney Trail approaching 16 Avenue NE,-113.9198625,51.05985542,-19.6,72,35,34,3.6,88.6, ,4
Northbound Stoney Trail approaching 16 Avenue NE,-113.9198625,51.05985542,-19.6,72,35,34,3.6,88.6, ,4
Northbound Stoney Trail approaching 16 Avenue NE,-113.920094,51.05460163,-16.8,69,21,10,24.1,89.88,Mainly Clear ,4
Northbound Stoney Trail approaching 16 Avenue NE,-113.920094,51.05460163,-16.8,69,21,10,24.1,89.88,Mainly Clear ,4
Northbound Stoney Trail approaching 16 Avenue NE,-113.920094,51.05460163,-16.8,69,21,10,24.1,89.88,Mainly Clear ,4
68 Street and 22 Avenue NE,-113.9355557,51.07262124,-12.3,57,4,4,24.1,88.65,Clear ,4
68 Street and 22 Avenue NE,-113.9355557,51.07262124,-12.3,57,4,4,24.1,88.65,Clear ,4
68 Street and 22 Avenue NE,-113.9355557,51.07262124,-12.3,57,4,4,24.1,88.65,Clear ,4
68 Street and 22 Avenue NE,-113.9355557,51.07262124,-12.3,57,4,4,24.1,88.65,Clear ,4
68 Street and 22 Avenue NE,-113.9355557,51.07262124,-12.3,57,4,4,24.1,88.65,Clear ,4
68 Street and 22 Avenue NE,-113.9355557,51.07262124,-13.5,87,19,18,8.1,89.04,"Snow Grains, ",4
68 Street and 22 Avenue NE,-113.9355557,51.07262124,-13.5,87,19,18,8.1,89.04,"Snow Grains, ",4
68 Street and 22 Avenue NE,-113.9355557,51.07262124,-13.5,87,19,18,8.1,89.04,"Snow Grains, ",4
68 Street and 22 Avenue NE,-113.9355557,51.07262124,-13.5,87,19,18,8.1,89.04,"Snow Grains, ",4
68 Street and 22 Avenue NE,-113.9355557,51.07262124,-13.5,87,19,18,8.1,89.04,"Snow Grains, ",4
68 Street and 22 Avenue NE,-113.9355557,51.07262124,-5.8,88,2,26,2,88.6, ,4
