INCIDENT INFO,Longitude,Latitude,DewPoint,RelativeHumidity,WindDirection,WindSpeed,Visibility,Pressure,Weather,cluster_label
Northbound 52 Street and 106 Avenue SE,-113.9589582,50.95784607,-10.8,74,19,9,24.1,88.78,Cloudy ,8
Eastbound Stoney Trail and 52 Street SE,-113.9559007,50.90323089,-9.1,42,28,24,64.4,89.19,Mainly Clear ,6
Southbound Stoney Trail at Glenmore Trail SE,-113.9292702,50.97964026,-7.3,89,1,32,3.2,87.97, ,7
Southbound Stoney Trail at Glenmore Trail SE,-113.9292702,50.97964026,-7.3,89,1,32,3.2,87.97, ,7
Southbound Stoney Trail at Glenmore Trail SE,-113.9292702,50.97964026,-7.3,89,1,32,3.2,87.97, ,7
Southbound Stoney Trail at Glenmore Trail SE,-113.9292702,50.97964026,-7.3,89,1,32,3.2,87.97, ,7
Southbound Stoney Trail at Glenmore Trail SE,-113.9292702,50.97964026,-7.3,89,1,32,3.2,87.97, ,7
Southbound Stoney Trail at Glenmore Trail SE,-113.9218434,50.98757301,-2.6,94,1,10,0.8,87.71, ,7
Southbound Stoney Trail at Glenmore Trail SE,-113.9218434,50.98757301,-2.6,94,1,10,0.8,87.71, ,7
Southbound Stoney Trail at Glenmore Trail SE,-113.9218434,50.98757301,-2.6,94,1,10,0.8,87.71, ,7
Southbound Stoney Trail at Glenmore Trail SE,-113.9218434,50.98757301,-2.6,94,1,10,0.8,87.71, ,7
Southbound Stoney Trail at Glenmore Trail SE,-113.9218434,50.98757301,-2.6,94,1,10,0.8,87.71, ,7
Southbound Stoney Trail at Glenmore Trail SE,-113.9206895,50.97357856,-2.6,94,1,10,0.8,87.71, ,7
Southbound Stoney Trail at Glenmore Trail SE,-113.9206895,50.97357856,-2.6,94,1,10,0.8,87.71, ,7
Southbound Stoney Trail at Glenmore Trail SE,-113.9206895,50.97357856,-2.6,94,1,10,0.8,87.71, ,7
Southbound Stoney Trail at Glenmore Trail SE,-113.9206895,50.97357856,-2.6,94,1,10,0.8,87.71, ,7
Southbound Stoney Trail at Glenmore Trail SE,-113.9206895,50.97357856,-2.6,94,1,10,0.8,87.71, ,7
Southbound Stoney Trail at Glenmore Trail SE,-113.9292702,50.97964026,-22.4,62,20,9,24.1,88.78,Mainly Clear ,7
Southbound Stoney Trail at Glenmore Trail SE,-113.9292702,50.97964026,-22.4,62,20,9,24.1,88.78,Mainly Clear ,7
