INCIDENT INFO,Longitude,Latitude,DewPoint,RelativeHumidity,WindDirection,WindSpeed,Visibility,Pressure,Weather,cluster_label
James Mckevitt Road and 162 Avenue SW,-114.0989626,50.90524843,-8.8,70,20,9,24.1,88.46,Mostly Cloudy ,10
James Mckevitt Road and 162 Avenue SW,-114.0989626,50.90524843,-8.8,70,20,9,24.1,88.46,Mostly Cloudy ,10
James Mckevitt Road and 162 Avenue SW,-114.0989701,50.90523664,0.6,19,2,4,8.1,89.43,Smoke ,10
James Mckevitt Road and 162 Avenue SW,-114.0989701,50.90523664,0.6,19,2,4,8.1,89.43,Smoke ,10
162 Avenue and Somercrest Street SW,-114.0894858,50.90391783,-8.8,70,20,9,24.1,88.46,Mostly Cloudy ,10
162 Avenue and Somercrest Street SW,-114.0894858,50.90391783,-8.8,70,20,9,24.1,88.46,Mostly Cloudy ,10
162 Avenue and Somercrest Street SW,-114.0897984,50.9036808,-7.3,79,36,1,48.3,89.4,Mostly Cloudy ,10
162 Avenue and Somercrest Street SW,-114.0897984,50.9036808,-7.3,79,36,1,48.3,89.4,Mostly Cloudy ,10
162 Avenue b/w James McKevitt Road and 6 Street SW,-114.0762171,50.90262298,-8.8,70,20,9,24.1,88.46,Mostly Cloudy ,10
Northbound Deerfoot Trail approaching Southland Drive SE,-114.036222,50.97058953,-9.5,90,15,8,4.8,89.11, ,11
Northbound Deerfoot Trail approaching Southland Drive SE,-114.036222,50.97058953,-9.5,90,15,8,4.8,89.11, ,11
Northbound Deerfoot Trail approaching Southland Drive SE,-114.036222,50.97058953,-9.5,90,15,8,4.8,89.11, ,11
Northbound Deerfoot Trail approaching Southland Drive SE,-114.036222,50.97058953,-9.5,90,15,8,4.8,89.11, ,11
Northbound Deerfoot Trail approaching Southland Drive SE,-114.036222,50.97058953,-9.5,90,15,8,4.8,89.11, ,11
Northbound Deerfoot Trail approaching Southland Drive SE,-114.036222,50.97058953,-9.5,90,15,8,4.8,89.11, ,11
Northbound Deerfoot Trail approaching Southland Drive SE,-114.036222,50.97058953,-9.5,90,15,8,4.8,89.11, ,11
Northbound Deerfoot Trail approaching Southland Drive SE,-114.0304509,50.96053027,17.9,75,17,16,24.1,89.8,28,11
Northbound Deerfoot Trail approaching Southland Drive SE,-114.0304509,50.96053027,17.9,75,17,16,24.1,89.8,28,11
Northbound Deerfoot Trail approaching Southland Drive SE,-114.0304509,50.96053027,17.9,75,17,16,24.1,89.8,28,11
Northbound Deerfoot Trail approaching Southland Drive SE,-114.0304509,50.96053027,17.9,75,17,16,24.1,89.8,28,11
Northbound Deerfoot Trail approaching Southland Drive SE,-114.0304509,50.96053027,17.9,75,17,16,24.1,89.8,28,11
Northbound Deerfoot Trail approaching Southland Drive SE,-114.0304509,50.96053027,17.9,75,17,16,24.1,89.8,28,11
Northbound Deerfoot Trail approaching Southland Drive SE,-114.0304509,50.96053027,17.9,75,17,16,24.1,89.8,28,11
Northbound Deerfoot Trail approaching Southland Drive SE,-114.0298148,50.95836702,9.8,63,9,17,64.4,89.24,Clear ,11
Northbound Deerfoot Trail approaching Southland Drive SE,-114.0298148,50.95836702,9.8,63,9,17,64.4,89.24,Clear ,11
Northbound Deerfoot Trail approaching Southland Drive SE,-114.0298148,50.95836702,9.8,63,9,17,64.4,89.24,Clear ,11
Northbound Deerfoot Trail approaching Southland Drive SE,-114.0298148,50.95836702,9.8,63,9,17,64.4,89.24,Clear ,11
Northbound Deerfoot Trail approaching Southland Drive SE,-114.0298148,50.95836702,9.8,63,9,17,64.4,89.24,Clear ,11
Northbound Deerfoot Trail approaching Southland Drive SE,-114.0298148,50.95836702,9.8,63,9,17,64.4,89.24,Clear ,11
Northbound Deerfoot Trail approaching Southland Drive SE,-114.0298148,50.95836702,9.8,63,9,17,64.4,89.24,Clear ,11
Northbound Deerfoot Trail approaching Southland Drive SE,-114.036222,50.97058953,-8.7,82,33,10,11.3,87.89, ,11
Northbound Deerfoot Trail approaching Southland Drive SE,-114.036222,50.97058953,-8.7,82,33,10,11.3,87.89, ,11
Northbound Deerfoot Trail approaching Southland Drive SE,-114.036222,50.97058953,-8.7,82,33,10,11.3,87.89, ,11
Northbound Deerfoot Trail approaching Southland Drive SE,-114.036222,50.97058953,-8.7,82,33,10,11.3,87.89, ,11
Northbound Deerfoot Trail approaching Southland Drive SE,-114.036222,50.97058953,-8.7,82,33,10,11.3,87.89, ,11
Northbound Deerfoot Trail approaching Southland Drive SE,-114.036222,50.97058953,-8.7,82,33,10,11.3,87.89, ,11
Northbound Deerfoot Trail approaching Southland Drive SE,-114.036222,50.97058953,-8.7,82,33,10,11.3,87.89, ,11
Northbound Deerfoot Trail approaching Southland Drive SE,-114.0316174,50.96399007,3,24,5,22,9.7,88.57,Smoke ,11
Northbound Deerfoot Trail approaching Southland Drive SE,-114.0316174,50.96399007,3,24,5,22,9.7,88.57,Smoke ,11
Northbound Deerfoot Trail approaching Southland Drive SE,-114.0316174,50.96399007,3,24,5,22,9.7,88.57,Smoke ,11
Northbound Deerfoot Trail approaching Southland Drive SE,-114.0316174,50.96399007,3,24,5,22,9.7,88.57,Smoke ,11
Northbound Deerfoot Trail approaching Southland Drive SE,-114.0316174,50.96399007,3,24,5,22,9.7,88.57,Smoke ,11
Northbound Deerfoot Trail approaching Southland Drive SE,-114.0316174,50.96399007,3,24,5,22,9.7,88.57,Smoke ,11
Northbound Deerfoot Trail approaching Southland Drive SE,-114.0316174,50.96399007,3,24,5,22,9.7,88.57,Smoke ,11
Northbound Deerfoot Trail approaching Southland Drive SE,-114.029642,50.95818421,-18.4,80,36,9,4.8,89.51, ,11
Northbound Deerfoot Trail approaching Southland Drive SE,-114.029642,50.95818421,-18.4,80,36,9,4.8,89.51, ,11
Northbound Deerfoot Trail approaching Southland Drive SE,-114.029642,50.95818421,-18.4,80,36,9,4.8,89.51, ,11
Northbound Deerfoot Trail approaching Southland Drive SE,-114.029642,50.95818421,-18.4,80,36,9,4.8,89.51, ,11
Northbound Deerfoot Trail approaching Southland Drive SE,-114.029642,50.95818421,-18.4,80,36,9,4.8,89.51, ,11
Northbound Deerfoot Trail approaching Southland Drive SE,-114.029642,50.95818421,-18.4,80,36,9,4.8,89.51, ,11
Northbound Deerfoot Trail approaching Southland Drive SE,-114.029642,50.95818421,-18.4,80,36,9,4.8,89.51, ,11
Northbound Deerfoot Trail approaching Southland Drive SE,-114.029814,50.95902868,-8.5,85,35,19,9.7,87.32, ,11
Northbound Deerfoot Trail approaching Southland Drive SE,-114.029814,50.95902868,-8.5,85,35,19,9.7,87.32, ,11
Northbound Deerfoot Trail approaching Southland Drive SE,-114.029814,50.95902868,-8.5,85,35,19,9.7,87.32, ,11
Northbound Deerfoot Trail approaching Southland Drive SE,-114.029814,50.95902868,-8.5,85,35,19,9.7,87.32, ,11
Northbound Deerfoot Trail approaching Southland Drive SE,-114.029814,50.95902868,-8.5,85,35,19,9.7,87.32, ,11
Northbound Deerfoot Trail approaching Southland Drive SE,-114.029814,50.95902868,-8.5,85,35,19,9.7,87.32, ,11
Northbound Deerfoot Trail approaching Southland Drive SE,-114.029814,50.95902868,-8.5,85,35,19,9.7,87.32, ,11
Bow Bottom Trail and Anderson Road SE,-114.0306453,50.9487729,-9.5,90,15,8,4.8,89.11, ,11
Bow Bottom Trail and Anderson Road SE,-114.0306453,50.9487729,-9.5,90,15,8,4.8,89.11, ,11
Bow Bottom Trail and Anderson Road SE,-114.0306453,50.9487729,-26.9,70,1,32,4.8,90.23,Snow Grains ,11
Bow Bottom Trail and Anderson Road SE,-114.0306453,50.9487729,-26.9,70,1,32,4.8,90.23,Snow Grains ,11
Heritage Meadows Road and Deerfoot Trail SE,-114.0374247,50.98250869,-6.9,88,1,17,3.2,88.36, ,11
Heritage Gate and Heritage Drive SE,-114.0442113,50.98721744,-6.7,87,1,13,3.6,88.34, ,11
Eastbound Glenmore Trail approaching 18 Street SE,-114.0208759,50.9835702,-6.3,90,34,29,1.2,88.45, ,11
Eastbound Glenmore Trail approaching 18 Street SE,-114.0208759,50.9835702,-6.3,90,34,29,1.2,88.45, ,11
Eastbound Glenmore Trail approaching 18 Street SE,-114.0208759,50.9835702,-6.3,90,34,29,1.2,88.45, ,11
Eastbound Glenmore Trail approaching 18 Street SE,-114.0208759,50.9835702,-6.3,90,34,29,1.2,88.45, ,11
Eastbound Glenmore Trail approaching 18 Street SE,-114.021199,50.98344132,-6.3,90,34,29,1.2,88.45, ,11
Eastbound Glenmore Trail approaching 18 Street SE,-114.021199,50.98344132,-6.3,90,34,29,1.2,88.45, ,11
Eastbound Glenmore Trail approaching 18 Street SE,-114.021199,50.98344132,-6.3,90,34,29,1.2,88.45, ,11
Eastbound Glenmore Trail approaching 18 Street SE,-114.021199,50.98344132,-6.3,90,34,29,1.2,88.45, ,11
Eastbound Glenmore Trail approaching 18 Street SE,-114.0210676,50.9833145,-16.7,76,34,9,24.1,89.05,Ice Crystals ,11
Eastbound Glenmore Trail approaching 18 Street SE,-114.0210676,50.9833145,-16.7,76,34,9,24.1,89.05,Ice Crystals ,11
Eastbound Glenmore Trail approaching 18 Street SE,-114.0210676,50.9833145,-16.7,76,34,9,24.1,89.05,Ice Crystals ,11
Eastbound Glenmore Trail approaching 18 Street SE,-114.0210676,50.9833145,-16.7,76,34,9,24.1,89.05,Ice Crystals ,11
Eastbound Glenmore Trail approaching 18 Street SE,-114.0204767,50.98287833,-29,70,34,15,8.1,90.4,Ice Crystals ,11
Eastbound Glenmore Trail approaching 18 Street SE,-114.0204767,50.98287833,-29,70,34,15,8.1,90.4,Ice Crystals ,11
Eastbound Glenmore Trail approaching 18 Street SE,-114.0204767,50.98287833,-29,70,34,15,8.1,90.4,Ice Crystals ,11
Eastbound Glenmore Trail approaching 18 Street SE,-114.0204767,50.98287833,-29,70,34,15,8.1,90.4,Ice Crystals ,11
Southbound Macleod Trail onto Anderson Road SE,-114.0718641,50.95054991,-5.6,91,2,36,1,87.58, ,9
Woodgreen Place and Woodgreen Drive SW,-114.1032782,50.93831377,-4.5,93,7,27,1.6,87.36, ,9
Shawnessy Boulevard and Macleod Trail SE,-114.0701149,50.91292012,-3.6,93,11,25,1,87.56, ,10
Shawnessy Boulevard and Macleod Trail SE,-114.0701149,50.91292012,-3.6,93,11,25,1,87.56, ,10
Shawnessy Boulevard and Macleod Trail SE,-114.0701149,50.91292012,-3.6,93,11,25,1,87.56, ,10
Shawnessy Boulevard and Macleod Trail SE,-114.0701149,50.91292012,-11.9,82,11,23,2,89.57,"Snow Grains,Snow Showers ",10
Shawnessy Boulevard and Macleod Trail SE,-114.0701149,50.91292012,-11.9,82,11,23,2,89.57,"Snow Grains,Snow Showers ",10
Shawnessy Boulevard and Macleod Trail SE,-114.0701149,50.91292012,-11.9,82,11,23,2,89.57,"Snow Grains,Snow Showers ",10
