INCIDENT INFO,Longitude,Latitude,DewPoint,RelativeHumidity,WindDirection,WindSpeed,Visibility,Pressure,Weather,cluster_label
Falconridge Drive b/w Falconridge Boulevard and Falworth Road NE,-113.9524566,51.0986315,-8.2,71,21,12,24.1,88.37,Mainly Clear ,2
Falconridge Drive b/w Falsbridge Drive and Falworth Road NE,-113.9525051,51.09865706,-8.2,71,21,12,24.1,88.37,Mainly Clear ,2
Falconridge Cr and Falconridge Drive NE,-113.9524947,51.09866083,-8.2,71,21,12,24.1,88.37,Mainly Clear ,2
Rundlewood Drive and Rundlehorn Drive NE,-113.9699034,51.07063492,-7,76,19,10,56.3,88.51,Clear ,2
Northbound Stoney Trail approaching 16 Avenue NE,-113.9201463,51.06365583,-12.3,57,4,4,24.1,88.65,Clear ,2
Northbound Stoney Trail approaching 16 Avenue NE,-113.9201463,51.06365583,-12.3,57,4,4,24.1,88.65,Clear ,2
Northbound Stoney Trail approaching 16 Avenue NE,-113.9201463,51.06365583,-12.3,57,4,4,24.1,88.65,Clear ,2
Northbound Stoney Trail approaching 16 Avenue NE,-113.9198625,51.05985542,-19.6,72,35,34,3.6,88.6, ,2
Northbound Stoney Trail approaching 16 Avenue NE,-113.9198625,51.05985542,-19.6,72,35,34,3.6,88.6, ,2
Northbound Stoney Trail approaching 16 Avenue NE,-113.9198625,51.05985542,-19.6,72,35,34,3.6,88.6, ,2
Northbound Stoney Trail approaching 16 Avenue NE,-113.920094,51.05460163,-16.8,69,21,10,24.1,89.88,Mainly Clear ,2
Northbound Stoney Trail approaching 16 Avenue NE,-113.920094,51.05460163,-16.8,69,21,10,24.1,89.88,Mainly Clear ,2
Northbound Stoney Trail approaching 16 Avenue NE,-113.920094,51.05460163,-16.8,69,21,10,24.1,89.88,Mainly Clear ,2
68 Street and 22 Avenue NE,-113.9355557,51.07262124,-12.3,57,4,4,24.1,88.65,Clear ,2
68 Street and 22 Avenue NE,-113.9355557,51.07262124,-12.3,57,4,4,24.1,88.65,Clear ,2
68 Street and 22 Avenue NE,-113.9355557,51.07262124,-12.3,57,4,4,24.1,88.65,Clear ,2
68 Street and 22 Avenue NE,-113.9355557,51.07262124,-12.3,57,4,4,24.1,88.65,Clear ,2
68 Street and 22 Avenue NE,-113.9355557,51.07262124,-12.3,57,4,4,24.1,88.65,Clear ,2
68 Street and 22 Avenue NE,-113.9355557,51.07262124,-13.5,87,19,18,8.1,89.04,"Snow Grains, ",2
68 Street and 22 Avenue NE,-113.9355557,51.07262124,-13.5,87,19,18,8.1,89.04,"Snow Grains, ",2
68 Street and 22 Avenue NE,-113.9355557,51.07262124,-13.5,87,19,18,8.1,89.04,"Snow Grains, ",2
68 Street and 22 Avenue NE,-113.9355557,51.07262124,-13.5,87,19,18,8.1,89.04,"Snow Grains, ",2
68 Street and 22 Avenue NE,-113.9355557,51.07262124,-13.5,87,19,18,8.1,89.04,"Snow Grains, ",2
68 Street and 22 Avenue NE,-113.9355557,51.07262124,-5.8,88,2,26,2,88.6, ,2
68 Street and 22 Avenue NE,-113.9355557,51.07262124,-5.8,88,2,26,2,88.6, ,2
68 Street and 22 Avenue NE,-113.9355557,51.07262124,-5.8,88,2,26,2,88.6, ,2
68 Street and 22 Avenue NE,-113.9355557,51.07262124,-5.8,88,2,26,2,88.6, ,2
68 Street and 22 Avenue NE,-113.9355557,51.07262124,-5.8,88,2,26,2,88.6, ,2
68 Street and 22 Avenue NE,-113.9355557,51.07262124,11.9,73,2,45,14.5,88.17,"Thunderstorms,Rain Showers, ",2
68 Street and 22 Avenue NE,-113.9355557,51.07262124,11.9,73,2,45,14.5,88.17,"Thunderstorms,Rain Showers, ",2
68 Street and 22 Avenue NE,-113.9355557,51.07262124,11.9,73,2,45,14.5,88.17,"Thunderstorms,Rain Showers, ",2
68 Street and 22 Avenue NE,-113.9355557,51.07262124,11.9,73,2,45,14.5,88.17,"Thunderstorms,Rain Showers, ",2
68 Street and 22 Avenue NE,-113.9355557,51.07262124,11.9,73,2,45,14.5,88.17,"Thunderstorms,Rain Showers, ",2
68 Street and 22 Avenue NE,-113.9355557,51.07262124,7,85,24,4,8.1,88.98,Smoke ,2
68 Street and 22 Avenue NE,-113.9355557,51.07262124,7,85,24,4,8.1,88.98,Smoke ,2
68 Street and 22 Avenue NE,-113.9355557,51.07262124,7,85,24,4,8.1,88.98,Smoke ,2
68 Street and 22 Avenue NE,-113.9355557,51.07262124,7,85,24,4,8.1,88.98,Smoke ,2
68 Street and 22 Avenue NE,-113.9355557,51.07262124,7,85,24,4,8.1,88.98,Smoke ,2
Memorial Drive and 36 Street NE,-113.9829193,51.05213682,-11.6,88,17,10,6.4,89.12, ,1
Memorial Drive and 36 Street NE,-113.9829193,51.05213682,-11.6,88,17,10,6.4,89.12, ,1
Memorial Drive and 36 Street NE,-113.9829193,51.05213682,-11.6,88,17,10,6.4,89.12, ,1
Memorial Drive and 36 Street NE,-113.9827567,51.05186917,2.7,39,16,12,24.1,88.77,Mostly Cloudy ,1
Memorial Drive and 36 Street NE,-113.9827567,51.05186917,2.7,39,16,12,24.1,88.77,Mostly Cloudy ,1
