INCIDENT INFO,Longitude,Latitude,DewPoint,RelativeHumidity,WindDirection,WindSpeed,Visibility,Pressure,Weather,cluster_label
Deerfoot Trail and Glenmore Trail SE,-114.0391731,50.99415668,-10.2,76,1,3,64.4,88.39,Mainly Clear ,5
Deerfoot Trail and Glenmore Trail SE,-114.0391731,50.99415668,-10.2,76,1,3,64.4,88.39,Mainly Clear ,5
Deerfoot Trail and Glenmore Trail SE,-114.0391731,50.99415668,-10.2,76,1,3,64.4,88.39,Mainly Clear ,5
Deerfoot Trail and Glenmore Trail SE,-114.0391731,50.99415668,-10.2,76,1,3,64.4,88.39,Mainly Clear ,5
Deerfoot Trail and Glenmore Trail SE,-114.0391731,50.99415668,-10.2,76,1,3,64.4,88.39,Mainly Clear ,5
Deerfoot Trail and Glenmore Trail SE,-114.0391731,50.99415668,-10.2,76,1,3,64.4,88.39,Mainly Clear ,5
Deerfoot Trail and Glenmore Trail SE,-114.0391731,50.99415668,-10.2,76,1,3,64.4,88.39,Mainly Clear ,5
Deerfoot Trail and Glenmore Trail SE,-114.036877,50.99447395,0.3,46,13,20,24.1,88.57,Mainly Clear ,5
Deerfoot Trail and Glenmore Trail SE,-114.036877,50.99447395,0.3,46,13,20,24.1,88.57,Mainly Clear ,5
Deerfoot Trail and Glenmore Trail SE,-114.036877,50.99447395,0.3,46,13,20,24.1,88.57,Mainly Clear ,5
Deerfoot Trail and Glenmore Trail SE,-114.036877,50.99447395,0.3,46,13,20,24.1,88.57,Mainly Clear ,5
Deerfoot Trail and Glenmore Trail SE,-114.036877,50.99447395,0.3,46,13,20,24.1,88.57,Mainly Clear ,5
Deerfoot Trail and Glenmore Trail SE,-114.036877,50.99447395,0.3,46,13,20,24.1,88.57,Mainly Clear ,5
Deerfoot Trail and Glenmore Trail SE,-114.036877,50.99447395,0.3,46,13,20,24.1,88.57,Mainly Clear ,5
Deerfoot Trail and Glenmore Trail SE,-114.035944,50.99326673,-9.9,78,3,19,24.1,88.76,Cloudy ,5
Deerfoot Trail and Glenmore Trail SE,-114.035944,50.99326673,-9.9,78,3,19,24.1,88.76,Cloudy ,5
Deerfoot Trail and Glenmore Trail SE,-114.035944,50.99326673,-9.9,78,3,19,24.1,88.76,Cloudy ,5
Deerfoot Trail and Glenmore Trail SE,-114.035944,50.99326673,-9.9,78,3,19,24.1,88.76,Cloudy ,5
